user_name,status,datetime
Tim Scott,"Happy 245th Birthday to the @USArmy! Countless men and women, including my brother, have courageously answered the call to ensure peace and justice for our nation. I honor you for your devoted service! God Bless! https://t.co/5vKzNUETgM",2020-06-14 17:32:05.481132
Rob Portman,"Teddy Roosevelt created the nat'l park service because he wanted to preserve some of the most beautiful &amp; pristine lands in America for public use.

Now we must carry on his legacy and safeguard these treasures for future generations. https://t.co/vS3QujSEgQ",2020-06-14 18:00:14.626261
Josh Hawley,"“Liberty and Union, now and forever, one and inseparable!” -Daniel Webster, 1830. Happy #FlagDay (flag courtesy of Elijah Hawley) https://t.co/d4X649KA6x",2020-06-14 18:19:09.506737
Sen. Jim Inhofe,Happy birthday to the @USArmy - 245 years of defending our nation. Thanking all soldiers for their service today. #ArmyBday https://t.co/rDbmxXLOYP,2020-06-14 18:26:35.181552
Sen. Kevin Cramer,"A flag worth dying for is a flag worth defending. The American flag signifies freedom and equality, principles our country was founded on and countless Americans have given their lives to protect. #FlagDay https://t.co/MRsGzdqwlC",2020-06-14 18:50:25.515117
Sen. Kevin Cramer,"A flag worth dying for is a flag worth defending. The American flag signifies freedom and equality, principles our country was founded on and countless Americans have given their lives to protect. #FlagDay https://t.co/2eRn0cLXlw",2020-06-14 18:51:42.517799
Sen. Kevin Cramer,A flag worth dying for is a flag worth defending. #FlagDay https://t.co/8Mf6QXHE05,2020-06-14 18:59:12.167448
Sen. Kevin Cramer,A flag worth dying for is a flag worth defending. #FlagDay https://t.co/yVr8kszRvv,2020-06-14 18:59:55.577096
Thom Tillis,"Supporting small businesses helps families keep food on the table and gas in the car. I’m glad to see that the Paycheck Protection Program is delivering for the small businesses that so many families rely on for a living.

https://t.co/NQqz8Tq4OW",2020-06-14 20:11:51.007659
Rob Portman,"Congrats to the Hamilton County Office of Re-entry on receiving a @NACoTweets Achievement Award for their program titled “EXIT Pod: Slowing the Jail's Revolving Door Through Community Partners.” 

Well deserved recognition for their life-changing work in the community.",2020-06-14 20:31:23.148623
Ted Cruz,Life without police:  A Democrat agenda for every city in America.,2020-06-14 20:39:18.836416
Sen. Marsha Blackburn,"Three years ago today, our brave Capitol police officers rushed onto the field to protect @SteveScalise and others from an active shooter and saved countless lives. Our police officers need more funding and more training. https://t.co/w4uEDI7mN9",2020-06-14 20:48:19.227068
Ted Cruz,This is the tolerant Left.,2020-06-14 20:52:12.790350
Ted Cruz,Lest anyone think CNN is a news organization.... https://t.co/Enl3qULd4o,2020-06-14 21:13:55.075694
